sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01678467,0.0,-65.51071,-88.1142,False
2,0.03411865,0.0,-65.51071,-88.1142,False
3,0.05029297,0.0,-65.51071,-88.1142,False
4,0.06671143,0.0,-65.51071,-88.1142,False
5,0.08343506,0.0,-65.51071,-88.1142,False
6,0.1001587,0.0,-65.51071,-88.1142,False
7,0.1171265,0.0,-65.51071,-88.1142,False
8,0.1334229,0.0,-65.51071,-88.1142,False
9,0.1502686,0.0,-65.51071,-88.1142,False
10,0.166687,0.0,-65.51071,-88.1142,False
11,0.1834106,0.0,-65.51071,-88.1142,False
12,0.2000732,0.0,-65.51071,-88.1142,False
13,0.2167969,0.0,-65.51071,-88.1142,False
14,0.2333374,0.0,-65.51071,-88.1142,False
15,0.2502441,0.0,-65.51071,-88.1142,False
16,0.2667236,0.0,-65.51071,-88.1142,False
17,0.2834473,0.0,-65.51071,-88.1142,False
18,0.3001709,0.0,-65.51071,-88.1142,False
19,0.3167725,0.0,-65.51071,-88.1142,False
20,0.3334351,0.0,-65.51071,-88.1142,False
21,0.3500977,0.0,-65.51071,-88.1142,False
22,0.3667603,0.0,-65.51071,-88.1142,False
23,0.3834229,0.0,-65.51071,-88.1142,False
24,0.4000244,0.0,-65.51071,-88.1142,False
25,0.4169922,0.0,-65.51071,-88.1142,False
26,0.4335327,0.0,-65.51071,-88.1142,False
27,0.4500122,0.0,-65.51071,-88.1142,False
28,0.4667358,0.0,-65.51071,-88.1142,False
29,0.4835205,0.0,-65.51071,-88.1142,False
30,0.500061,0.0,-65.51071,-88.1142,False
31,0.5167236,0.0,-65.51071,-88.1142,False
32,0.5333252,0.0,-65.51071,-88.1142,False
33,0.5500488,0.0,-65.51071,-88.1142,False
34,0.5671387,0.0,-65.51071,-88.1142,False
35,0.583313,0.0,-65.51071,-88.1142,False
36,0.6000366,0.0,-65.51071,-88.1142,False
37,0.6166382,0.0,-65.51071,-88.1142,False
38,0.6334229,0.0,-65.51071,-88.1142,False
39,0.6500244,0.0,-65.51071,-88.1142,False
40,0.666626,0.0,-65.51071,-88.1142,False
41,0.6833496,0.0,-65.51071,-88.1142,False
42,0.7001343,0.0,-65.51071,-88.1142,False
43,0.7165527,0.0,-65.51071,-88.1142,False
44,0.7333374,0.0,-65.51071,-88.1142,False
45,0.7501221,0.0,-65.51071,-88.1142,False
46,0.7667236,0.0,-65.51071,-88.1142,False
47,0.7833862,0.0,-65.51071,-88.1142,False
48,0.7999878,0.0,-65.51071,-88.1142,False
49,0.8165894,0.0,-65.51071,-88.1142,False
50,0.8334351,0.0,-65.51071,-88.1142,False
51,0.8500366,0.0,-65.51071,-88.1142,False
52,0.8665161,0.0,-65.51071,-88.1142,False
53,0.8834229,0.0,-65.51071,-88.1142,False
54,0.9002686,0.0,-65.51071,-88.1142,False
55,0.916626,0.0,-65.51071,-88.1142,False
56,0.9332886,0.0,-65.51071,-88.1142,False
57,0.9504395,0.0,-65.51071,-88.1142,False
58,0.9666748,0.0,-65.51071,-88.1142,False
59,0.9832764,0.0,-65.51071,-88.1142,False
60,0.999939,0.0,-65.51071,-88.1142,False
61,1.016663,0.0,-65.51071,-88.1142,False
62,1.033325,0.0,-65.51071,-88.1142,False
63,1.049988,0.0,-65.51071,-88.1142,False
64,1.066711,0.0,-65.51071,-88.1142,False
65,1.083374,0.0,-65.51071,-88.1142,False
66,1.100342,0.0,-65.51071,-88.1142,False
67,1.116577,0.0,-65.51071,-88.1142,False
68,1.133362,0.0,-65.51071,-88.1142,False
69,1.149963,0.0,-65.51071,-88.1142,False
70,1.166626,0.0,-65.51071,-88.1142,False
71,1.183228,0.0,-65.51071,-88.1142,False
72,1.199951,0.0,-65.51071,-88.1142,False
73,1.216675,0.0,-65.51071,-88.1142,False
74,1.233276,0.0,-65.51071,-88.1142,False
75,1.249878,0.0,-65.51071,-88.1142,False
76,1.266663,0.0,-65.51071,-88.1142,False
77,1.283386,0.0,-65.51071,-88.1142,False
78,1.299988,0.0,-65.51071,-88.1142,False
79,1.316589,0.0,-65.51071,-88.1142,False
80,1.33374,0.0,-65.51071,-88.1142,False
81,1.349915,0.0,-65.51071,-88.1142,False
82,1.366821,0.0,-65.51071,-88.1142,False
83,1.383179,0.0,-65.51071,-88.1142,False
84,1.400085,0.0,-65.51071,-88.1142,False
85,1.416565,0.0,-65.51071,-88.1142,False
86,1.433228,0.0,-65.51071,-88.1142,False
87,1.449951,0.0,-65.51071,-88.1142,False
88,1.466553,0.0,-65.51071,-88.1142,False
89,1.483154,0.0,-65.51071,-88.1142,False
90,1.499939,0.0,-65.51071,-88.1142,False
91,1.516602,0.0,-65.51071,-88.1142,False
92,1.533264,0.0,-65.51071,-88.1142,False
93,1.549866,0.0,-65.51071,-88.1142,False
94,1.566589,0.0,-65.51071,-88.1142,False
95,1.583252,0.0,-65.51071,-88.1142,False
96,1.599915,0.0,-65.51071,-88.1142,False
97,1.616638,0.0,-65.51071,-88.1142,False
98,1.633301,0.0,-65.51071,-88.1142,False
99,1.649902,0.0,-65.51071,-88.1142,False
100,1.666565,0.0,-65.51071,-88.1142,False
101,1.68335,0.0,-65.51071,-88.1142,False
102,1.700012,0.0,-65.51071,-88.1142,False
103,1.717041,0.0,-65.51071,-88.1142,False
104,1.733276,0.0,-65.51071,-88.1142,False
105,1.749878,0.0,-65.51071,-88.1142,False
106,1.766602,0.0,-65.51071,-88.1142,False
107,1.783142,0.0,-65.51071,-88.1142,False
108,1.799866,0.0,-65.51071,-88.1142,False
109,1.816467,0.0,-65.51071,-88.1142,False
110,1.833252,0.0,-65.51071,-88.1142,False
111,1.849854,0.0,-65.51071,-88.1142,False
112,1.867004,0.0,-65.51071,-88.1142,False
113,1.883057,0.0,-65.51071,-88.1142,False
114,1.899841,0.0,-65.51071,-88.1142,False
115,1.916565,0.0,-65.51071,-88.1142,False
116,1.933167,0.0,-65.51071,-88.1142,False
117,1.949829,0.0,-65.51071,-88.1142,False
118,1.966492,0.0,-65.51071,-88.1142,False
119,1.983093,0.0,-65.51071,-88.1142,False
120,1.999878,0.0,-65.51071,-88.1142,False
121,2.016663,0.0,-65.51071,-88.1142,False
122,2.033142,0.0,-65.51071,-88.1142,False
123,2.049866,0.0,-65.51071,-88.1142,False
124,2.066528,0.0,-65.51071,-88.1142,False
