sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01678467,0.0,0.0,0.0
2,0.03314209,0.0,0.0,0.0
3,0.05026245,0.0,0.0,0.0
4,0.06680298,0.0,0.0,0.0
5,0.08337402,0.0,0.0,0.0
6,0.1000366,0.0,0.0,0.0
7,0.1169128,0.0,0.0,0.0
8,0.1333313,0.0,0.0,0.0
9,0.1502075,0.0,0.0,0.0
10,0.1666565,0.0,0.0,0.0
11,0.1833801,0.0,0.0,0.0
12,0.2002258,0.0,0.0,0.0
13,0.2165222,0.0,0.0,0.0
14,0.2331543,0.0,0.0,0.0
15,0.2498474,0.0,0.0,0.0
16,0.2666321,0.0,0.0,0.0
17,0.2835388,0.0,0.0,0.0
18,0.2997437,0.0,0.0,0.0
19,0.316864,0.0,0.0,0.0
20,0.3331604,0.0,0.0,0.0
21,0.3500366,0.0,0.0,0.0
22,0.3666992,0.0,0.0,0.0
23,0.3834534,0.0,0.0,0.0
24,0.4002075,0.0,0.0,0.0
25,0.4168701,0.0,0.0,0.0
26,0.4331665,0.0,0.0,0.0
27,0.4499817,0.0,0.0,0.0
28,0.4667053,0.0,0.0,0.0
29,0.4832458,0.0,0.0,0.0
30,0.4997253,0.0,0.0,0.0
31,0.5164185,0.0,0.0,0.0
32,0.5332336,0.0,0.0,0.0
33,0.5500183,0.0,0.0,0.0
34,0.5664673,0.0,0.0,0.0
35,0.5830078,0.0,0.0,0.0
36,0.6001587,0.0,0.0,0.0
37,0.6164551,0.0,0.0,0.0
38,0.6333923,0.0,0.0,0.0
39,0.6497498,0.0,0.0,0.0
40,0.6662903,0.0,0.0,0.0
41,0.6826477,0.0,0.0,0.0
42,0.6993103,0.0,0.0,0.0
43,0.7161865,0.0,0.0,0.0
44,0.7327881,0.0,0.0,0.0
45,0.7493896,0.0,0.0,0.0
46,0.7660522,0.0,0.0,0.0
47,0.7827148,0.0,0.0,0.0
48,0.7994995,0.0,0.0,0.0
49,0.8161011,0.0,0.0,0.0
50,0.8327332,0.0,0.0,0.0
51,0.8493958,0.0,0.0,0.0
52,0.8660583,0.0,0.0,0.0
53,0.882843,0.0,0.0,0.0
54,0.8994751,0.0,0.0,0.0
55,0.9162292,0.0,0.0,0.0
56,0.9327393,0.0,0.0,0.0
57,0.9498291,0.0,0.0,0.0
58,0.9660034,0.0,0.0,0.0
59,0.9828186,0.0,0.0,0.0
60,0.9992676,0.0,0.0,0.0
61,1.016083,0.0,0.0,0.0
62,1.032745,0.0,0.0,0.0
63,1.049438,0.0,0.0,0.0
64,1.066101,0.0,0.0,0.0
65,1.082794,0.0,0.0,0.0
66,1.099518,0.0,0.0,0.0
67,1.11618,0.0,0.0,0.0
68,1.132935,0.0,0.0,0.0
69,1.149261,0.0,0.0,0.0
70,1.166168,0.0,0.0,0.0
71,1.183075,0.0,0.0,0.0
72,1.199463,0.0,0.0,0.0
73,1.216278,0.0,0.0,0.0
74,1.232727,0.0,0.0,0.0
75,1.24939,0.0,0.0,0.0
76,1.266052,0.0,0.0,0.0
77,1.282837,0.0,0.0,0.0
78,1.299469,0.0,0.0,0.0
79,1.316071,0.0,0.0,0.0
80,1.332733,0.0,0.0,0.0
81,1.349487,0.0,0.0,0.0
82,1.366058,0.0,0.0,0.0
83,1.38266,0.0,0.0,0.0
84,1.399323,0.0,0.0,0.0
85,1.416016,0.0,0.0,0.0
86,1.432831,0.0,0.0,0.0
87,1.44928,0.0,0.0,0.0
88,1.466034,0.0,0.0,0.0
89,1.482819,0.0,0.0,0.0
90,1.499237,0.0,0.0,0.0
91,1.516144,0.0,0.0,0.0
92,1.532715,0.0,0.0,0.0
93,1.54953,0.0,0.0,0.0
94,1.566345,0.0,0.0,0.0
95,1.582581,0.0,0.0,0.0
96,1.599274,0.0,0.0,0.0
97,1.616028,0.0,0.0,0.0
98,1.63269,0.0,0.0,0.0
99,1.649414,0.0,0.0,0.0
100,1.665985,0.0,0.0,0.0
101,1.683044,0.0,0.0,0.0
102,1.700256,0.0,0.0,0.0
103,1.716614,0.0,0.0,0.0
104,1.733063,0.0,0.0,0.0
105,1.749847,0.0,0.0,0.0
106,1.766602,0.0,0.0,0.0
107,1.783356,0.0,0.0,0.0
108,1.799652,0.0,0.0,0.0
109,1.81665,0.0,0.0,0.0
110,1.833008,0.0,0.0,0.0
111,1.849762,0.0,0.0,0.0
112,1.866669,0.0,0.0,0.0
113,1.883545,0.0,0.0,0.0
114,1.899841,0.0,0.0,0.0
115,1.916534,0.0,0.0,0.0
116,1.933228,0.0,0.0,0.0
117,1.94989,0.0,0.0,0.0
